Season,Team,Player
2,Kings XI Punjab,Burt Cockley
2,Kings XI Punjab,Karan Goel
2,Kings XI Punjab,James Hopes
2,Kings XI Punjab,Mahela Jayawardene
2,Kings XI Punjab,Simon Katich
2,Kings XI Punjab,Uday Kaul
2,Kings XI Punjab,Taruwar Kohli
2,Kings XI Punjab,Sahil Kukreja
2,Kings XI Punjab,Vikramjeet Malik
2,Kings XI Punjab,Shaun Marsh
2,Kings XI Punjab,Wilkin Mota
2,Kings XI Punjab,Ryan Ninan
2,Kings XI Punjab,Irfan Pathan
2,Kings XI Punjab,Luke Pomersbach
2,Kings XI Punjab,Ramesh Powar
2,Kings XI Punjab,Ravikant Shukla
2,Kings XI Punjab,Kumar Sangakkara
2,Kings XI Punjab,Vikram Singh
2,Kings XI Punjab,Sunny Sohal
2,Kings XI Punjab,Sreesanth
2,Kings XI Punjab,Tanmay Srivastava
2,Kings XI Punjab,Ravi Bopara
2,Kings XI Punjab,Brett Lee
2,Kings XI Punjab,Jerome Taylor
2,Kolkata Knight Riders,Brendon McCullum
2,Kolkata Knight Riders,Ajit Agarkar
2,Kolkata Knight Riders,Anureet Singh
2,Kolkata Knight Riders,Rohan Banerjee
2,Kolkata Knight Riders,Ashok Dinda
2,Kolkata Knight Riders,Sourav Ganguly
2,Kolkata Knight Riders,Chris Gayle
2,Kolkata Knight Riders,Arindam Ghosh
2,Kolkata Knight Riders,Moises Henriques
2,Kolkata Knight Riders,Brad Hodge
2,Kolkata Knight Riders,David Hussey
2,Kolkata Knight Riders,Murali Kartik
2,Kolkata Knight Riders,Charl Langeveldt
2,Kolkata Knight Riders,Mashrafe Mortaza
2,Kolkata Knight Riders,Angelo Mathews
2,Kolkata Knight Riders,Ajantha Mendis
2,Kolkata Knight Riders,Wriddhiman Saha
2,Kolkata Knight Riders,Shoaib Shaikh
2,Kolkata Knight Riders,Ishant Sharma
2,Kolkata Knight Riders,Laxmi Shukla
2,Kolkata Knight Riders,Morne van Wyk
2,Kolkata Knight Riders,Yashpal Singh
2,Mumbai Indians,Sachin Tendulkar
2,Mumbai Indians,Dwayne Bravo
2,Mumbai Indians,Shikhar Dhawan
2,Mumbai Indians,Jean-Paul Duminy
2,Mumbai Indians,Dilhara Fernando
2,Mumbai Indians,Harbhajan Singh
2,Mumbai Indians,Sanath Jayasuriya
2,Mumbai Indians,Zaheer Khan
2,Mumbai Indians,Dhawal Kulkarni
2,Mumbai Indians,Ryan McLaren
2,Mumbai Indians,Lasith Malinga
2,Mumbai Indians,Kyle Mills
2,Mumbai Indians,Mohammad Ashraful
2,Mumbai Indians,Chetanya Nanda
2,Mumbai Indians,Abhishek Nayar
2,Mumbai Indians,Ajinkya Rahane
2,Mumbai Indians,Rohan Raje
2,Mumbai Indians,Luke Ronchi
2,Mumbai Indians,Jaydev Shah
2,Mumbai Indians,Pinal Shah
2,Mumbai Indians,Rahil Shaikh
2,Mumbai Indians,Yogesh Takawale
2,Mumbai Indians,Saurabh Tiwary
2,Mumbai Indians,Graham Napier
2,Rajasthan Royals,Shane Warne
2,Rajasthan Royals,Pushkaraj Chavan
2,Rajasthan Royals,Aditya Angle
2,Rajasthan Royals,Swapnil Asnodkar
2,Rajasthan Royals,Johan Botha
2,Rajasthan Royals,Lee Carseldine
2,Rajasthan Royals,Siddharth Chitnis
2,Rajasthan Royals,Raiphi Gomez
2,Rajasthan Royals,Shane Harwood
2,Rajasthan Royals,Tyron Henderson
2,Rajasthan Royals,Ravindra Jadeja
2,Rajasthan Royals,Kamran Khan
2,Rajasthan Royals,Justin Langer
2,Rajasthan Royals,Abdulahad Malek
2,Rajasthan Royals,Mohammed Arif
2,Rajasthan Royals,Parag More
2,Rajasthan Royals,Morne Morkel
2,Rajasthan Royals,Naman Ojha
2,Rajasthan Royals,Munaf Patel
2,Rajasthan Royals,Niraj Patel
2,Rajasthan Royals,Yusuf Pathan
2,Rajasthan Royals,Rob Quiney
2,Rajasthan Royals,Abhishek Raut
2,Rajasthan Royals,Mahesh Rawat
2,Rajasthan Royals,Atul Sharma
2,Rajasthan Royals,Gajendra Singh
2,Rajasthan Royals,Amit Singh
2,Rajasthan Royals,Graeme Smith
2,Rajasthan Royals,Shaun Tait
2,Rajasthan Royals,Siddharth Trivedi
2,Rajasthan Royals,Paul Valthaty
2,Rajasthan Royals,Shane Watson
2,Rajasthan Royals,Paras Dogra
2,Rajasthan Royals,Mohammad Kaif
2,Rajasthan Royals,Ashraf Makda
2,Rajasthan Royals,Shrideep Mangela
2,Rajasthan Royals,Dimitri Mascarenhas
2,Rajasthan Royals,Anup Revandkar
2,Rajasthan Royals,Dinesh Salunkhe
3,Royal Challengers Bangalore,Anil Kumble
3,Royal Challengers Bangalore,Balachandra Akhil
3,Royal Challengers Bangalore,KP Appanna
3,Royal Challengers Bangalore,Mark Boucher
3,Royal Challengers Bangalore,Rahul Dravid
3,Royal Challengers Bangalore,Dillon du Preez
