,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams
115,Dwayne Bravo,c Oram b Joginder Sharma,24,16,2,1,150,2,335989,1,28,Mumbai Indians
116,Abhishek Nayar,not out,45,20,6,1,225,2,335989,1,59,Mumbai Indians
117,Musavir Khote,c Raina b Muralitharan,9,5,0,1,180,2,335989,1,17,Mumbai Indians
118,Harbhajan Singh,c Badrinath b Muralitharan,28,14,1,3,200,2,335989,1,41,Mumbai Indians
119,Ashish Nehra,not out,1,2,0,0,50,2,335989,1,1,Mumbai Indians
120,Adam Gilchrist,st †Kamran Akmal b Pathan,13,9,3,0,144.44,1,335990,1,16,Deccan Chargers
121,VVS Laxman,c & b Warne,16,16,3,0,100,1,335990,1,19,Deccan Chargers
122,Shahid Afridi,c Jadeja b Pathan,10,4,1,1,250,1,335990,1,19,Deccan Chargers
123,Andrew Symonds,not out,117,53,11,7,220.75,1,335990,1,164,Deccan Chargers
124,Rohit Sharma,c Salunkhe b Warne,36,30,3,1,120,1,335990,1,41,Deccan Chargers
125,Arjun Yadav,c †Kamran Akmal b Watson,16,9,3,0,177.78,1,335990,1,25,Deccan Chargers
126,Kamran Akmal,c Bangar b Vaas,12,9,1,1,133.33,2,335990,1,15,Rajasthan Royals
127,Graeme Smith,c Kalyankrishna b Shahid Afridi,71,45,9,2,157.78,2,335990,1,84,Rajasthan Royals
128,Yusuf Pathan,c Symonds b Kalyankrishna,61,28,4,6,217.86,2,335990,1,83,Rajasthan Royals
129,Shane Watson,b Shahid Afridi,4,6,0,0,66.67,2,335990,1,4,Rajasthan Royals
130,Mohammad Kaif,c Symonds b Shahid Afridi,34,16,2,3,212.5,2,335990,1,48,Rajasthan Royals
131,Ravindra Jadeja,b Singh,1,3,0,0,33.33,2,335990,1,-5,Rajasthan Royals
132,Shane Warne,not out,22,9,2,2,244.44,2,335990,1,34,Rajasthan Royals
