,Player,Description,Runs,Balls,4s,6s,SR,Team,Match_id,Season,Fantasy_Points,Teams,Opponent_Team,Toss_Winner,Choose_to,Match_Location
101,Gautam Gambhir,c †Gilchrist b Singh,12,9,2,0,133.33,2,335988,1,14,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
102,Virender Sehwag,not out,94,41,10,6,229.27,2,335988,1,122,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
103,Shikhar Dhawan,not out,25,28,3,0,89.29,2,335988,1,28,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
104,Parthiv Patel,c †Ronchi b Nehra,14,11,3,0,127.27,1,335989,1,17,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
105,Matthew Hayden,run out (Harbhajan Singh),81,46,12,2,176.09,1,335989,1,103,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
106,Michael Hussey,b Kulkarni,5,9,1,0,55.56,1,335989,1,6,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
107,Suresh Raina,c Bravo b Khote,53,37,3,3,143.24,1,335989,1,62,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
108,MS Dhoni,c Bravo b Khote,30,16,4,1,187.5,1,335989,1,42,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
109,Jacob Oram,not out,5,2,1,0,250,1,335989,1,12,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
110,S Badrinath,not out,2,1,0,0,200,1,335989,1,8,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
111,Luke Ronchi,run out (Badrinath),2,3,0,0,66.67,2,335989,1,2,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
112,Sanath Jayasuriya,c Joginder Sharma b Gony,20,11,4,0,181.82,2,335989,1,30,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
113,Robin Uthappa,b Joginder Sharma,43,36,6,1,119.44,2,335989,1,51,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
114,Shaun Pollock,b Amarnath,17,15,0,1,113.33,2,335989,1,19,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
115,Dwayne Bravo,c Oram b Joginder Sharma,24,16,2,1,150,2,335989,1,28,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
116,Abhishek Nayar,not out,45,20,6,1,225,2,335989,1,59,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
117,Musavir Khote,c Raina b Muralitharan,9,5,0,1,180,2,335989,1,17,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
118,Harbhajan Singh,c Badrinath b Muralitharan,28,14,1,3,200,2,335989,1,41,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
119,Ashish Nehra,not out,1,2,0,0,50,2,335989,1,1,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk, Chennai"
120,Adam Gilchrist,st †Kamran Akmal b Pathan,13,9,3,0,144.44,1,335990,1,16,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
